Post id,Date,post_text,Link,Impressions,Likes,Engagements,Bookmarks,Share,New follows,Replies,Reposts,Profile visits,Detail expands,Url clicks,Hashtag clicks,Permalink clicks
1892028458621900000,YYYY-00-DD 00:00:SS,"Indiscriminate mass layoffs by Elon Musk are ravaging key programs, depriving our people of nuclear safety inspectors, air traffic controllers and food safety inspectors. These cuts crush democracy and devastate the livelihood of tens of thousands of public servants.",https://x.com/RepRaskin/status/1892028458621898893,295288,6341,17761,132,27,25,5807,1953,912,2691,3,0,0
1891311223662160000,YYYY-00-DD 00:00:SS,"Trump and Musk are dismantling the government’s capacity to spot, publicize and reject interference in our elections by Russian and other autocratic agents. The states and the people must start planning now to pick up the slack. https://t.co/SRhNRjrTI3",https://x.com/RepRaskin/status/1891311223662161986,24819,572,1704,22,14,1,298,237,63,358,164,0,0
1890795892703130000,YYYY-00-DD 00:00:SS,"After Vance demands firing of a WSJ reporter who covered the racist posts of a Musk aide, and Trump threatens to pull broadcast licenses of news outlets he can’t control, Vance lectures Europe about free speech—to mask his dangerous embrace of the extreme Right in Germany.",https://x.com/RepRaskin/status/1890795892703129788,1296697,37613,59810,1105,177,73,3813,9674,2859,5748,10,0,0
1890446940799650000,YYYY-00-DD 00:00:SS,To AG Bondi—Halt now the threatened firing of the excellent lawyers in the Public Integrity Section. You have no right to fire public servants defending public integrity in order to override the decisions of US Attorney Sassoon and a Grand Jury to prosecute a politician for,https://x.com/RepRaskin/status/1890446940799651919,700116,14211,43689,375,69,55,9156,4242,3293,12513,45,0,0
1890211375567500000,YYYY-00-DD 00:00:SS,"Today, I took to the House Floor to make an urgent PSA about constitutional crimes taking place in the nation’s capital. There’s a serial constitutional violator at large in DC, spreading corruption and authoritarianism with his juvenile night crew: Elon Musk. https://t.co/3kq7iCwjD2",https://x.com/RepRaskin/status/1890211375567499522,550228,15936,37022,449,106,33,7025,5289,1027,4677,96,0,0
1888635290668920000,YYYY-00-DD 00:00:SS,"Terribly saddened by the loss of Beverly Byron, a great Congresswoman who never lost her passion for public things and the common good in her beloved Frederick County and in Maryland. She’s been helpful to me from my first day in Congress, and I will always treasure her",https://x.com/RepRaskin/status/1888635290668924986,55341,1167,3043,11,2,10,622,140,107,991,5,0,0
1888283012195830000,YYYY-00-DD 00:00:SS,"Another deep wound inflicted against American medicine, science and health by Musk’s juvenile night crew of data thieves following the Project 2025 playbook, which Trump disavowed in the campaign. https://t.co/aCtrBkLLP0",https://x.com/RepRaskin/status/1888283012195827957,39981,577,3620,32,11,7,1129,237,122,911,621,0,0
1887997023284090000,YYYY-00-DD 00:00:SS,"Of course, Musk could not be elected president constitutionally, so Trump just sold him the office for $280 million. https://t.co/qvLu5TdP2S",https://x.com/RepRaskin/status/1887997023284089331,1757701,39418,94038,758,587,74,16546,9337,10046,11937,613,0,0
1887996529585070000,YYYY-00-DD 00:00:SS,A beautiful message on how racists can achieve forgiveness without repentance in the Musk administration!,https://x.com/RepRaskin/status/1887996529585074480,23164,494,1466,8,3,1,542,96,78,253,0,0,0
1887996528129700000,YYYY-00-DD 00:00:SS,"Elon Musk’s trusted White House advisers J.D. Vance and Donald Trump urged him to rehire his vicious racist protégé, who had resigned in disgrace, so the 25-year-old “kid” could resume illegally plundering the financial payment systems and personal data of millions of Americans.",https://x.com/RepRaskin/status/1887996528129704421,143022,2452,5367,93,17,13,907,970,252,748,9,0,0
1887963058104060000,YYYY-00-DD 00:00:SS,Received this memo from constituents abroad on a US military base who are parents in the DOD school system. They’re outraged that censorship like this is happening against military families. One asked a school official why they removed photos on the walls of Susan B. Anthony and https://t.co/Xv6172oXSc,https://x.com/RepRaskin/status/1887963058104058133,653312,10953,58999,1039,512,72,2894,4591,1537,20685,448,0,0
1887923739154610000,YYYY-00-DD 00:00:SS,"It’s sweet you don’t want to “ruin a kid’s life” (something to bear in mind next time you oppose gun safety laws), but does that mean this “kid” should have access to the private data of tens of millions of Americans? Pathetic.",https://x.com/RepRaskin/status/1887923739154612291,214825,14365,23384,147,15,8,969,698,4079,3259,1,0,0
1887923737552450000,YYYY-00-DD 00:00:SS,"Which posts do you “disagree” with — “Normalize Indian hate,” “I was racist before it was cool,” “I would not mind at all if Gaza and Israel were both wiped off the face of the Earth,” or “You could not pay me to marry outside of my ethnicity”?",https://x.com/RepRaskin/status/1887923737552453995,4040267,92063,191634,3927,368,125,6733,9413,22567,60128,396,0,0
